"id","date","distance","time_h","time_m","time_s"
"1","2021-01-01","7.13","0","41","16"
"2","2021-01-02","8.46","0","52","0"
"3","2021-01-03","7.78","0","45","17"
"4","2021-01-04","7.05","0","39","13"
"5","2021-01-06","6.47","0","34","33"
"6","2021-01-08","6.58","0","39","13"
"7","2021-01-10","7.08","0","40","10"
"8","2021-01-13","11.15","1","6","52"
"9","2021-01-15","7.06","0","40","10"
"10","2021-01-17","7.34","0","40","20"
"11","2021-01-18","8.36","0","50","18"
"12","2021-01-24","7.06","0","38","23"
"13","2021-01-26","10.71","1","11","19"
"14","2021-01-28","9.97","1","0","3"
"15","2021-01-29","6.85","0","42","39"
"16","2021-01-31","6.04","0","32","7"
"17","2021-02-05","8.2","0","47","49"
"18","2021-02-08","10.77","1","7","7"
"19","2021-02-10","6.96","0","39","23"
"20","2021-02-12","9.2","0","58","9.2"
"21","2021-02-16","7.04","0","41","9"
"22","2021-02-27","9.68","1","7","59"
"23","2021-03-03","10.04","0","57","14"
"24","2021-03-04","10.2","1","1","33"
"25","2021-03-06","10.03","0","56","10"
"26","2021-03-09","7","0","42","0"
"27","2021-03-12","7.7","0","47","32"
"28","2021-03-14","5.05","0","28","39"
"29","2021-03-16","6.34","0","38","22"
"30","2021-03-19","12.95","1","19","13"
"31","2021-03-23","10.05","0","59","49"
"32","2021-03-30","4.04","0","22","58"
"33","2021-04-01","9.38","1","5","54"
"34","2021-04-04","11.55","1","5","2"
"35","2021-04-06","5.04","0","26","53"
"36","2021-04-08","5.6","0","29","21"
"37","2021-04-08","7.69","0","43","26"
"38","2021-04-11","10","0","53","19"
"39","2021-04-14","7.28","0","42","33"
"40","2021-04-15","4.02","0","22","8"
"41","2021-04-16","10.33","1","4","37"
"42","2021-04-19","5.02","0","28","2"
"43","2021-04-21","5.12","0","28","22"
"44","2021-04-23","9.72","1","1","42"
"45","2021-04-28","15.03","1","24","42"
"46","2021-05-03","4.2","0","24","10"
"47","2021-05-05","3.8","0","21","20"
"48","2021-05-11","10.02","0","55","44"
"49","2021-05-12","5.02","0","28","34"
"50","2021-05-15","10.84","1","7","37"
"51","2021-05-18","4","0","21","43"
"52","2021-05-25","5.3","0","36","31"
"53","2021-05-27","10","0","57","56"
"54","2021-05-30","10","0","57","56"
"55","2021-05-31","11.37","1","9","25"
"56","2021-06-05","8.11","0","43","57"
